,min_lon,max_lon,max_height,max_width,start_time,harpnum,wavelength,fits_fullpath,label
17,30.6288,33.9513,624,853,2013-10-25T15:42:01Z,3291,94,/data/linn/newpipe_compressed/pos/2013.10.25_15:48:00_7h@1h_AARP3291_94.fits,1
18,-51.1221,-47.6015,548,700,2014-11-06T15:42:01Z,4781,171,/data/linn/newpipe_compressed/pos/2014.11.06_15:48:00_7h@1h_AARP4781_171.fits,1
19,-64.7349,-60.9801,685,556,2013-10-18T15:42:01Z,3291,94,/data/linn/newpipe_compressed/pos/2013.10.18_15:48:00_7h@1h_AARP3291_94.fits,1
20,-33.2528,-30.0803,633,850,2015-03-10T15:42:01Z,5298,131,/data/linn/newpipe_compressed/pos/2015.03.10_15:48:00_7h@1h_AARP5298_131.fits,1
21,-70.6557,-67.6164,491,562,2012-06-27T15:42:02Z,1807,131,/data/linn/newpipe_compressed/pos/2012.06.27_15:48:00_7h@1h_AARP1807_131.fits,1
22,-42.4697,-39.0818,608,727,2013-11-05T15:42:01Z,3341,304,/data/linn/newpipe_compressed/pos/2013.11.05_15:48:00_7h@1h_AARP3341_304.fits,1
23,-31.339,-28.1551,430,675,2011-02-11T15:42:02Z,377,131,/data/linn/newpipe_compressed/pos/2011.02.11_15:48:00_7h@1h_AARP377_131.fits,1
24,59.9836,63.1861,587,541,2013-11-18T15:42:01Z,3364,193,/data/linn/newpipe_compressed/pos/2013.11.18_15:48:00_7h@1h_AARP3364_193.fits,1
25,-72.1279,-68.724,467,351,2011-03-03T15:42:02Z,401,193,/data/linn/newpipe_compressed/pos/2011.03.03_15:48:00_7h@1h_AARP401_193.fits,1
26,-77.9875,-75.0518,621,446,2011-09-22T15:42:02Z,892,335,/data/linn/newpipe_compressed/pos/2011.09.22_15:48:00_7h@1h_AARP892_335.fits,1
27,-53.7206,-50.4962,791,1155,2014-01-03T15:42:01Z,3563,94,/data/linn/newpipe_compressed/pos/2014.01.03_15:48:00_7h@1h_AARP3563_94.fits,1
28,73.5072,76.719,675,474,2013-10-28T15:42:01Z,3291,335,/data/linn/newpipe_compressed/pos/2013.10.28_15:48:00_7h@1h_AARP3291_335.fits,1
29,14.4159,17.9056,518,622,2014-03-28T15:42:01Z,3894,193,/data/linn/newpipe_compressed/pos/2014.03.28_15:48:00_7h@1h_AARP3894_193.fits,1
30,73.5072,76.719,675,474,2013-10-28T15:42:01Z,3291,211,/data/linn/newpipe_compressed/pos/2013.10.28_15:48:00_7h@1h_AARP3291_211.fits,1
31,-86.7047,-84.6014,535,254,2014-11-03T15:42:01Z,4781,94,/data/linn/newpipe_compressed/pos/2014.11.03_15:48:00_7h@1h_AARP4781_94.fits,1
32,-39.087,-35.9256,1019,1492,2014-12-12T15:42:01Z,4920,94,/data/linn/newpipe_compressed/pos/2014.12.12_15:48:00_7h@1h_AARP4920_94.fits,1
33,-26.2516,-22.9199,521,617,2014-03-25T15:42:01Z,3894,304,/data/linn/newpipe_compressed/pos/2014.03.25_15:48:00_7h@1h_AARP3894_304.fits,1
34,-32.541,-29.2333,436,661,2011-03-06T15:42:02Z,401,94,/data/linn/newpipe_compressed/pos/2011.03.06_15:48:00_7h@1h_AARP401_94.fits,1
35,-58.9617,-55.8694,657,652,2015-03-08T15:42:01Z,5298,211,/data/linn/newpipe_compressed/pos/2015.03.08_15:48:00_7h@1h_AARP5298_211.fits,1
36,-44.0142,-40.9102,514,909,2012-03-05T15:42:02Z,1449,335,/data/linn/newpipe_compressed/pos/2012.03.05_15:48:00_7h@1h_AARP1449_335.fits,1
37,-40.7289,-37.5701,791,1478,2014-01-04T15:41:49Z,3563,171,/data/linn/newpipe_compressed/pos/2014.01.04_15:48:00_7h@1h_AARP3563_171.fits,1
38,-16.0679,-12.6373,588,829,2013-11-07T15:42:01Z,3341,131,/data/linn/newpipe_compressed/pos/2013.11.07_15:48:00_7h@1h_AARP3341_131.fits,1
39,-45.9783,-42.6546,869,1204,2012-01-17T15:42:02Z,1321,304,/data/linn/newpipe_compressed/pos/2012.01.17_15:48:00_7h@1h_AARP1321_304.fits,1
40,-999999.0,-999999.0,653,273,2014-04-10T15:42:01Z,4000,131,/data/linn/newpipe_compressed/pos/2014.04.10_15:48:00_7h@1h_AARP4000_131.fits,1
41,-15.9231,-12.366,533,863,2011-09-04T15:42:02Z,833,335,/data/linn/newpipe_compressed/pos/2011.09.04_15:48:00_7h@1h_AARP833_335.fits,1
42,-6.88914,-3.72446,810,1497,2012-07-11T15:41:49Z,1834,1600,/data/linn/newpipe_compressed/pos/2012.07.11_15:48:00_7h@1h_AARP1834_1600.fits,1
43,-50.1828,-47.2397,1016,1192,2014-12-11T15:42:01Z,4920,94,/data/linn/newpipe_compressed/pos/2014.12.11_15:48:00_7h@1h_AARP4920_94.fits,1
44,-999999.0,-999999.0,913,508,2012-01-13T15:42:02Z,1321,304,/data/linn/newpipe_compressed/pos/2012.01.13_15:48:00_7h@1h_AARP1321_304.fits,1
45,9.63049,12.1111,633,1812,2014-04-19T15:41:49Z,4000,171,/data/linn/newpipe_compressed/pos/2014.04.19_15:48:00_7h@1h_AARP4000_171.fits,1
46,-999999.0,-999999.0,438,630,2011-02-10T15:42:02Z,377,304,/data/linn/newpipe_compressed/pos/2011.02.10_15:48:00_7h@1h_AARP377_304.fits,1
47,-20.961,-18.3919,679,1589,2014-04-16T15:42:01Z,4000,131,/data/linn/newpipe_compressed/pos/2014.04.16_15:48:00_7h@1h_AARP4000_131.fits,1
48,3.56593,6.81216,600,916,2013-10-23T15:42:01Z,3291,335,/data/linn/newpipe_compressed/pos/2013.10.23_15:48:00_7h@1h_AARP3291_335.fits,1
49,-2.74301,-0.734795,1020,2129,2014-12-16T15:42:01Z,4920,304,/data/linn/newpipe_compressed/pos/2014.12.16_15:48:00_7h@1h_AARP4920_304.fits,1
50,-64.7349,-60.9801,685,556,2013-10-18T15:42:01Z,3291,211,/data/linn/newpipe_compressed/pos/2013.10.18_15:48:00_7h@1h_AARP3291_211.fits,1
51,-999999.0,-999999.0,527,247,2011-08-29T15:42:02Z,833,131,/data/linn/newpipe_compressed/pos/2011.08.29_15:48:00_7h@1h_AARP833_131.fits,1
52,-73.9005,-70.4053,555,623,2012-03-03T15:42:02Z,1449,94,/data/linn/newpipe_compressed/pos/2012.03.03_15:48:00_7h@1h_AARP1449_94.fits,1
53,-66.4922,-64.933,866,722,2012-07-05T15:42:01Z,1834,335,/data/linn/newpipe_compressed/pos/2012.07.05_15:48:00_7h@1h_AARP1834_335.fits,1
54,-60.1787,-56.8318,577,606,2013-11-09T15:42:01Z,3364,211,/data/linn/newpipe_compressed/pos/2013.11.09_15:48:00_7h@1h_AARP3364_211.fits,1
55,0.805897,3.96159,740,1302,2014-10-23T15:42:01Z,4698,335,/data/linn/newpipe_compressed/pos/2014.10.23_15:48:00_7h@1h_AARP4698_335.fits,1
56,-59.1166,-55.637,455,491,2011-03-04T15:42:02Z,401,171,/data/linn/newpipe_compressed/pos/2011.03.04_15:48:00_7h@1h_AARP401_171.fits,1
57,-13.1248,-9.75941,356,788,2011-08-02T15:42:02Z,753,335,/data/linn/newpipe_compressed/pos/2011.08.02_15:48:00_7h@1h_AARP753_335.fits,1
58,-64.0639,-60.7569,833,752,2014-10-18T15:42:01Z,4698,304,/data/linn/newpipe_compressed/pos/2014.10.18_15:48:00_7h@1h_AARP4698_304.fits,1
59,-39.3643,-36.111,536,579,2014-03-24T15:42:01Z,3894,193,/data/linn/newpipe_compressed/pos/2014.03.24_15:48:00_7h@1h_AARP3894_193.fits,1
60,46.1074,49.3196,492,793,2012-07-06T15:42:01Z,1807,131,/data/linn/newpipe_compressed/pos/2012.07.06_15:48:00_7h@1h_AARP1807_131.fits,1
61,-72.0318,-68.7994,693,495,2015-03-07T15:42:01Z,5298,335,/data/linn/newpipe_compressed/pos/2015.03.07_15:48:00_7h@1h_AARP5298_335.fits,1
62,19.6369,22.8602,471,974,2012-07-04T15:42:01Z,1807,211,/data/linn/newpipe_compressed/pos/2012.07.04_15:48:00_7h@1h_AARP1807_211.fits,1
63,-19.9946,-16.6407,826,1407,2012-01-19T15:42:02Z,1321,335,/data/linn/newpipe_compressed/pos/2012.01.19_15:48:00_7h@1h_AARP1321_335.fits,1
64,-31.339,-28.1551,430,675,2011-02-11T15:42:02Z,377,171,/data/linn/newpipe_compressed/pos/2011.02.11_15:48:00_7h@1h_AARP377_171.fits,1
65,-6.74181,-3.60349,811,1449,2012-01-20T15:42:02Z,1321,211,/data/linn/newpipe_compressed/pos/2012.01.20_15:48:00_7h@1h_AARP1321_211.fits,1
66,-16.0679,-12.6373,588,829,2013-11-07T15:42:01Z,3341,94,/data/linn/newpipe_compressed/pos/2013.11.07_15:48:00_7h@1h_AARP3341_94.fits,1
67,-999999.0,-999999.0,607,275,2015-03-05T15:42:01Z,5298,131,/data/linn/newpipe_compressed/pos/2015.03.05_15:48:00_7h@1h_AARP5298_131.fits,1
68,-999999.0,-999999.0,517,214,2011-09-20T15:42:02Z,892,211,/data/linn/newpipe_compressed/pos/2011.09.20_15:48:00_7h@1h_AARP892_211.fits,1
69,-999999.0,-83.3906,495,242,2015-05-04T15:42:01Z,5541,94,/data/linn/newpipe_compressed/pos/2015.05.04_15:48:00_7h@1h_AARP5541_94.fits,1
70,-51.1221,-47.6015,548,700,2014-11-06T15:42:01Z,4781,94,/data/linn/newpipe_compressed/pos/2014.11.06_15:48:00_7h@1h_AARP4781_94.fits,1
71,-999999.0,-999999.0,543,166,2014-03-20T15:42:01Z,3894,94,/data/linn/newpipe_compressed/pos/2014.03.20_15:48:00_7h@1h_AARP3894_94.fits,1
72,-32.541,-29.2333,436,661,2011-03-06T15:42:02Z,401,193,/data/linn/newpipe_compressed/pos/2011.03.06_15:48:00_7h@1h_AARP401_193.fits,1
73,-999999.0,-999999.0,611,177,2013-10-15T15:42:01Z,3291,94,/data/linn/newpipe_compressed/pos/2013.10.15_15:48:00_7h@1h_AARP3291_94.fits,1
74,-45.6148,-42.2932,855,1296,2012-07-08T15:42:01Z,1834,211,/data/linn/newpipe_compressed/pos/2012.07.08_15:48:00_7h@1h_AARP1834_211.fits,1
75,20.1709,23.5574,559,740,2013-11-15T15:42:01Z,3364,94,/data/linn/newpipe_compressed/pos/2013.11.15_15:48:00_7h@1h_AARP3364_94.fits,1
76,-67.2822,-63.6622,778,863,2014-01-02T15:42:01Z,3563,94,/data/linn/newpipe_compressed/pos/2014.01.02_15:48:00_7h@1h_AARP3563_94.fits,1
77,-6.74181,-3.60349,811,1449,2012-01-20T15:42:02Z,1321,94,/data/linn/newpipe_compressed/pos/2012.01.20_15:48:00_7h@1h_AARP1321_94.fits,1
78,-999999.0,-999999.0,653,273,2014-04-10T15:42:01Z,4000,94,/data/linn/newpipe_compressed/pos/2014.04.10_15:48:00_7h@1h_AARP4000_94.fits,1
79,-72.0318,-68.7994,693,495,2015-03-07T15:42:01Z,5298,94,/data/linn/newpipe_compressed/pos/2015.03.07_15:48:00_7h@1h_AARP5298_94.fits,1
80,-56.0817,-52.8879,717,814,2014-04-13T15:42:01Z,4000,94,/data/linn/newpipe_compressed/pos/2014.04.13_15:48:00_7h@1h_AARP4000_94.fits,1
81,-83.2458,-80.7095,445,210,2011-03-02T15:41:50Z,401,1600,/data/linn/newpipe_compressed/pos/2011.03.02_15:48:00_7h@1h_AARP401_1600.fits,1
82,-31.8119,-28.8581,708,1373,2014-04-15T15:41:49Z,4000,1600,/data/linn/newpipe_compressed/pos/2014.04.15_15:48:00_7h@1h_AARP4000_1600.fits,1
83,3.56593,6.81216,600,916,2013-10-23T15:42:01Z,3291,131,/data/linn/newpipe_compressed/pos/2013.10.23_15:48:00_7h@1h_AARP3291_131.fits,1
84,-31.339,-28.1551,430,675,2011-02-11T15:42:02Z,377,211,/data/linn/newpipe_compressed/pos/2011.02.11_15:48:00_7h@1h_AARP377_211.fits,1
85,37.7916,40.715,380,709,2011-08-06T15:41:50Z,753,1600,/data/linn/newpipe_compressed/pos/2011.08.06_15:48:00_7h@1h_AARP753_1600.fits,1
86,10.3263,13.666,585,836,2013-11-09T15:42:01Z,3341,94,/data/linn/newpipe_compressed/pos/2013.11.09_15:48:00_7h@1h_AARP3341_94.fits,1
87,-999999.0,-999999.0,429,165,2013-10-23T15:42:01Z,3311,335,/data/linn/newpipe_compressed/pos/2013.10.23_15:48:00_7h@1h_AARP3311_335.fits,1
88,-2.74301,-0.734795,1020,2129,2014-12-16T15:42:01Z,4920,171,/data/linn/newpipe_compressed/pos/2014.12.16_15:48:00_7h@1h_AARP4920_171.fits,1
89,-45.9783,-42.6546,869,1204,2012-01-17T15:42:02Z,1321,193,/data/linn/newpipe_compressed/pos/2012.01.17_15:48:00_7h@1h_AARP1321_193.fits,1
90,-58.7822,-54.6009,538,783,2012-03-04T15:41:50Z,1449,1600,/data/linn/newpipe_compressed/pos/2012.03.04_15:48:00_7h@1h_AARP1449_1600.fits,1
91,-75.1737,-71.7445,227,205,2014-06-10T15:42:01Z,4225,211,/data/linn/newpipe_compressed/pos/2014.06.10_15:48:00_7h@1h_AARP4225_211.fits,1
92,-45.9807,-42.8289,648,767,2015-03-09T15:42:01Z,5298,131,/data/linn/newpipe_compressed/pos/2015.03.09_15:48:00_7h@1h_AARP5298_131.fits,1
93,-74.5465,-71.2635,477,346,2012-10-21T15:41:49Z,2137,1600,/data/linn/newpipe_compressed/pos/2012.10.21_15:48:00_7h@1h_AARP2137_1600.fits,1
94,-81.1825,-77.725,581,342,2011-08-30T15:42:02Z,833,335,/data/linn/newpipe_compressed/pos/2011.08.30_15:48:00_7h@1h_AARP833_335.fits,1
95,6.49304,10.0381,552,745,2013-11-14T15:42:01Z,3364,171,/data/linn/newpipe_compressed/pos/2013.11.14_15:48:00_7h@1h_AARP3364_171.fits,1
96,-999999.0,-999999.0,543,166,2014-03-20T15:42:01Z,3894,131,/data/linn/newpipe_compressed/pos/2014.03.20_15:48:00_7h@1h_AARP3894_131.fits,1
97,-87.4992,-85.8792,333,207,2011-07-27T15:42:02Z,753,171,/data/linn/newpipe_compressed/pos/2011.07.27_15:48:00_7h@1h_AARP753_171.fits,1
98,46.1074,49.3196,492,793,2012-07-06T15:41:49Z,1807,193,/data/linn/newpipe_compressed/pos/2012.07.06_15:48:00_7h@1h_AARP1807_193.fits,1
99,58.8843,62.4674,642,642,2013-10-27T15:42:01Z,3291,211,/data/linn/newpipe_compressed/pos/2013.10.27_15:48:00_7h@1h_AARP3291_211.fits,1
100,-67.2822,-63.6622,778,863,2014-01-02T15:42:01Z,3563,211,/data/linn/newpipe_compressed/pos/2014.01.02_15:48:00_7h@1h_AARP3563_211.fits,1
101,13.5656,16.7747,751,1281,2014-10-24T15:42:01Z,4698,335,/data/linn/newpipe_compressed/pos/2014.10.24_15:48:00_7h@1h_AARP4698_335.fits,1
102,-45.6121,-42.2007,451,595,2011-03-05T15:42:02Z,401,211,/data/linn/newpipe_compressed/pos/2011.03.05_15:48:00_7h@1h_AARP401_211.fits,1
103,-76.9551,-73.2907,919,555,2014-02-24T15:42:01Z,3793,193,/data/linn/newpipe_compressed/pos/2014.02.24_15:48:00_7h@1h_AARP3793_193.fits,1
104,0.055168,3.36191,342,798,2011-08-03T15:42:02Z,753,171,/data/linn/newpipe_compressed/pos/2011.08.03_15:48:00_7h@1h_AARP753_171.fits,1
105,63.3032,66.528,377,489,2011-08-08T15:42:02Z,753,94,/data/linn/newpipe_compressed/pos/2011.08.08_15:48:00_7h@1h_AARP753_94.fits,1
106,-21.7121,-18.0366,555,744,2013-11-12T15:42:01Z,3364,131,/data/linn/newpipe_compressed/pos/2013.11.12_15:48:00_7h@1h_AARP3364_131.fits,1
107,12.8365,16.1673,354,788,2011-08-04T15:42:02Z,753,131,/data/linn/newpipe_compressed/pos/2011.08.04_15:48:00_7h@1h_AARP753_131.fits,1
108,-39.3643,-36.111,536,579,2014-03-24T15:42:01Z,3894,171,/data/linn/newpipe_compressed/pos/2014.03.24_15:48:00_7h@1h_AARP3894_171.fits,1
109,-55.9468,-52.694,572,655,2011-09-01T15:42:02Z,833,94,/data/linn/newpipe_compressed/pos/2011.09.01_15:48:00_7h@1h_AARP833_94.fits,1
110,-58.7822,-54.6009,538,783,2012-03-04T15:42:02Z,1449,335,/data/linn/newpipe_compressed/pos/2012.03.04_15:48:00_7h@1h_AARP1449_335.fits,1
111,46.8753,50.2071,569,639,2013-11-17T15:42:01Z,3364,193,/data/linn/newpipe_compressed/pos/2013.11.17_15:48:00_7h@1h_AARP3364_193.fits,1
112,-84.7499,-82.2192,661,341,2015-03-06T15:42:01Z,5298,335,/data/linn/newpipe_compressed/pos/2015.03.06_15:48:00_7h@1h_AARP5298_335.fits,1
113,-6.71099,-3.42282,458,1018,2012-07-02T15:41:49Z,1807,1600,/data/linn/newpipe_compressed/pos/2012.07.02_15:48:00_7h@1h_AARP1807_1600.fits,1
114,-6.95168,-3.74375,406,704,2011-03-08T15:42:02Z,401,94,/data/linn/newpipe_compressed/pos/2011.03.08_15:48:00_7h@1h_AARP401_94.fits,1
115,-999999.0,-999999.0,527,247,2011-08-29T15:42:02Z,833,193,/data/linn/newpipe_compressed/pos/2011.08.29_15:48:00_7h@1h_AARP833_193.fits,1
116,-86.2591,-83.7641,165,144,2014-06-09T15:42:01Z,4225,193,/data/linn/newpipe_compressed/pos/2014.06.09_15:48:00_7h@1h_AARP4225_193.fits,1
117,-999999.0,-999999.0,913,508,2012-01-13T15:42:02Z,1321,211,/data/linn/newpipe_compressed/pos/2012.01.13_15:48:00_7h@1h_AARP1321_211.fits,1
118,-82.4031,-81.8883,845,356,2014-10-16T15:42:01Z,4698,304,/data/linn/newpipe_compressed/pos/2014.10.16_15:48:00_7h@1h_AARP4698_304.fits,1
119,14.4159,17.9056,518,622,2014-03-28T15:42:01Z,3894,94,/data/linn/newpipe_compressed/pos/2014.03.28_15:48:00_7h@1h_AARP3894_94.fits,1
120,-999999.0,-999999.0,543,166,2014-03-20T15:41:49Z,3894,1600,/data/linn/newpipe_compressed/pos/2014.03.20_15:48:00_7h@1h_AARP3894_1600.fits,1
121,-20.961,-18.3919,679,1589,2014-04-16T15:41:49Z,4000,171,/data/linn/newpipe_compressed/pos/2014.04.16_15:48:00_7h@1h_AARP4000_171.fits,1
122,-12.2056,-9.05782,751,1285,2014-10-22T15:41:49Z,4698,193,/data/linn/newpipe_compressed/pos/2014.10.22_15:48:00_7h@1h_AARP4698_193.fits,1
123,-999999.0,-999999.0,625,324,2011-10-31T15:41:50Z,1028,171,/data/linn/newpipe_compressed/pos/2011.10.31_15:48:00_7h@1h_AARP1028_171.fits,1
124,-15.7206,-12.5814,758,1975,2014-01-06T15:42:01Z,3563,335,/data/linn/newpipe_compressed/pos/2014.01.06_15:48:00_7h@1h_AARP3563_335.fits,1
125,-74.6766,-71.4879,685,526,2011-11-02T15:42:02Z,1028,211,/data/linn/newpipe_compressed/pos/2011.11.02_15:48:00_7h@1h_AARP1028_211.fits,1
126,16.8893,19.5717,1031,1908,2014-12-18T15:41:49Z,4920,193,/data/linn/newpipe_compressed/pos/2014.12.18_15:48:00_7h@1h_AARP4920_193.fits,1
127,-19.4278,-17.8415,1019,1991,2014-12-14T15:42:01Z,4920,335,/data/linn/newpipe_compressed/pos/2014.12.14_15:48:00_7h@1h_AARP4920_335.fits,1
128,-42.4697,-39.0818,608,727,2013-11-05T15:42:01Z,3341,193,/data/linn/newpipe_compressed/pos/2013.11.05_15:48:00_7h@1h_AARP3341_193.fits,1
129,-86.7047,-84.6014,535,254,2014-11-03T15:42:01Z,4781,131,/data/linn/newpipe_compressed/pos/2014.11.03_15:48:00_7h@1h_AARP4781_131.fits,1
130,-6.95168,-3.74375,406,704,2011-03-08T15:42:02Z,401,211,/data/linn/newpipe_compressed/pos/2011.03.08_15:48:00_7h@1h_AARP401_211.fits,1
131,14.4159,17.9056,518,622,2014-03-28T15:42:01Z,3894,171,/data/linn/newpipe_compressed/pos/2014.03.28_15:48:00_7h@1h_AARP3894_171.fits,1
132,-72.9836,-69.6845,599,490,2013-11-08T15:42:01Z,3364,171,/data/linn/newpipe_compressed/pos/2013.11.08_15:48:00_7h@1h_AARP3364_171.fits,1
133,-85.0417,-83.0355,449,213,2012-10-20T15:42:01Z,2137,131,/data/linn/newpipe_compressed/pos/2012.10.20_15:48:00_7h@1h_AARP2137_131.fits,1
134,-13.1248,-9.75941,356,788,2011-08-02T15:42:02Z,753,304,/data/linn/newpipe_compressed/pos/2011.08.02_15:48:00_7h@1h_AARP753_304.fits,1
135,-999999.0,-999999.0,429,165,2013-10-23T15:42:01Z,3311,211,/data/linn/newpipe_compressed/pos/2013.10.23_15:48:00_7h@1h_AARP3311_211.fits,1
136,-68.6892,-65.3327,727,560,2014-04-12T15:42:01Z,4000,171,/data/linn/newpipe_compressed/pos/2014.04.12_15:48:00_7h@1h_AARP4000_171.fits,1
137,-53.7206,-50.4962,791,1155,2014-01-03T15:42:01Z,3563,304,/data/linn/newpipe_compressed/pos/2014.01.03_15:48:00_7h@1h_AARP3563_304.fits,1
138,-69.0932,-67.2938,881,934,2012-07-06T15:41:49Z,1834,1600,/data/linn/newpipe_compressed/pos/2012.07.06_15:48:00_7h@1h_AARP1834_1600.fits,1
139,46.1074,49.3196,492,793,2012-07-06T15:41:49Z,1807,1600,/data/linn/newpipe_compressed/pos/2012.07.06_15:48:00_7h@1h_AARP1807_1600.fits,1
140,-45.6148,-42.2932,855,1296,2012-07-08T15:42:01Z,1834,304,/data/linn/newpipe_compressed/pos/2012.07.08_15:48:00_7h@1h_AARP1834_304.fits,1
141,53.3622,56.403,904,1000,2012-01-25T15:42:02Z,1321,211,/data/linn/newpipe_compressed/pos/2012.01.25_15:48:00_7h@1h_AARP1321_211.fits,1
142,-28.3303,-25.1537,776,1760,2014-01-05T15:42:01Z,3563,171,/data/linn/newpipe_compressed/pos/2014.01.05_15:48:00_7h@1h_AARP3563_171.fits,1
143,-999999.0,-999999.0,913,508,2012-01-13T15:42:02Z,1321,193,/data/linn/newpipe_compressed/pos/2012.01.13_15:48:00_7h@1h_AARP1321_193.fits,1
144,-74.5465,-71.2635,477,346,2012-10-21T15:42:01Z,2137,131,/data/linn/newpipe_compressed/pos/2012.10.21_15:48:00_7h@1h_AARP2137_131.fits,1
145,-50.6286,-47.5608,814,958,2014-10-19T15:42:01Z,4698,171,/data/linn/newpipe_compressed/pos/2014.10.19_15:48:00_7h@1h_AARP4698_171.fits,1
146,-999999.0,-999999.0,438,630,2011-02-10T15:42:02Z,377,193,/data/linn/newpipe_compressed/pos/2011.02.10_15:48:00_7h@1h_AARP377_193.fits,1
147,-39.1067,-35.8538,377,708,2011-07-31T15:42:02Z,753,171,/data/linn/newpipe_compressed/pos/2011.07.31_15:48:00_7h@1h_AARP753_171.fits,1
148,-45.6121,-42.2007,451,595,2011-03-05T15:42:02Z,401,94,/data/linn/newpipe_compressed/pos/2011.03.05_15:48:00_7h@1h_AARP401_94.fits,1
149,-28.1948,-25.7672,1021,1765,2014-12-13T15:42:01Z,4920,304,/data/linn/newpipe_compressed/pos/2014.12.13_15:48:00_7h@1h_AARP4920_304.fits,1
150,-39.087,-35.9256,1019,1492,2014-12-12T15:42:01Z,4920,193,/data/linn/newpipe_compressed/pos/2014.12.12_15:48:00_7h@1h_AARP4920_193.fits,1
151,-73.9005,-70.4053,555,623,2012-03-03T15:41:50Z,1449,1600,/data/linn/newpipe_compressed/pos/2012.03.03_15:48:00_7h@1h_AARP1449_1600.fits,1
152,-80.6998,-78.2785,695,389,2014-04-11T15:42:01Z,4000,335,/data/linn/newpipe_compressed/pos/2014.04.11_15:48:00_7h@1h_AARP4000_335.fits,1
153,32.8373,36.198,481,905,2012-07-05T15:42:01Z,1807,304,/data/linn/newpipe_compressed/pos/2012.07.05_15:48:00_7h@1h_AARP1807_304.fits,1
154,-58.7583,-55.3657,888,1031,2012-01-16T15:42:02Z,1321,211,/data/linn/newpipe_compressed/pos/2012.01.16_15:48:00_7h@1h_AARP1321_211.fits,1
155,-68.7216,-65.2804,651,475,2013-11-03T15:42:01Z,3341,171,/data/linn/newpipe_compressed/pos/2013.11.03_15:48:00_7h@1h_AARP3341_171.fits,1
156,6.51606,9.86148,460,1013,2012-07-03T15:42:01Z,1807,171,/data/linn/newpipe_compressed/pos/2012.07.03_15:48:00_7h@1h_AARP1807_171.fits,1
157,12.8365,16.1673,354,788,2011-08-04T15:42:02Z,753,193,/data/linn/newpipe_compressed/pos/2011.08.04_15:48:00_7h@1h_AARP753_193.fits,1
158,10.8712,14.1618,520,876,2011-09-06T15:42:02Z,833,211,/data/linn/newpipe_compressed/pos/2011.09.06_15:48:00_7h@1h_AARP833_211.fits,1
